"date_time","traffic_volume","rain","snow","clouds","temperature"
2012-10-02 09:00:00,5545,0,0,40,288.28
2012-10-02 10:00:00,4516,0,0,75,289.36
2012-10-02 11:00:00,4767,0,0,90,289.58
2012-10-02 12:00:00,5026,0,0,90,290.13
2012-10-02 13:00:00,4918,0,0,75,291.14
2012-10-02 14:00:00,5181,0,0,1,291.72
2012-10-02 15:00:00,5584,0,0,1,293.17
2012-10-02 16:00:00,6015,0,0,1,293.86
2012-10-02 17:00:00,5791,0,0,20,294.14
2012-10-02 18:00:00,4770,0,0,20,293.1
2012-10-02 19:00:00,3539,0,0,20,290.97
2012-10-02 20:00:00,2784,0,0,1,289.38
2012-10-02 21:00:00,2361,0,0,1,288.61
2012-10-02 22:00:00,1529,0,0,1,287.16
2012-10-02 23:00:00,963,0,0,1,285.45
2012-10-03 00:00:00,506,0,0,1,284.63
2012-10-03 01:00:00,321,0,0,1,283.47
2012-10-03 02:00:00,273,0,0,1,281.18
2012-10-03 03:00:00,367,0,0,1,281.09
2012-10-03 04:00:00,814,0,0,1,279.53
2012-10-03 05:00:00,2718,0,0,1,278.62
2012-10-03 06:00:00,5673,0,0,1,278.23
2012-10-03 07:00:00,4594,0,0,30.3333333333333,284.01
2012-10-03 08:00:00,6511,0,0,1,278.12
2012-10-03 09:00:00,5471,0,0,1,282.48
2012-10-03 10:00:00,4256.5,0,0,45,289.86
2012-10-03 11:00:00,4842,0.095,0,41.5,288.59
2012-10-03 12:00:00,5097,0,0,1,291.97
2012-10-03 13:00:00,4887,0,0,1,293.23
2012-10-03 14:00:00,5337,0,0,1,294.31
2012-10-03 15:00:00,5692,0,0,1,295.17
2012-10-03 16:00:00,6137,0,0,1,295.13
2012-10-03 17:00:00,5801,0.2225,0,33.25,290.4575
2012-10-03 18:00:00,4623,0,0,20,293.66
2012-10-03 19:00:00,3591,0,0,20,290.65
2012-10-03 20:00:00,2898,0,0,20,288.19
2012-10-03 21:00:00,2637,0,0,1,287.1
2012-10-03 22:00:00,1777,0,0,1,286.25
2012-10-03 23:00:00,1015,0,0,1,285.26
2012-10-04 00:00:00,598,0,0,1,284.55
2012-10-04 01:00:00,369,0,0,1,283.47
2012-10-04 02:00:00,312,0,0,1,283.17
2012-10-04 03:00:00,367,0,0,1,282.04
2012-10-04 04:00:00,835,0,0,1,281.69
2012-10-04 05:00:00,2726,0,0,1,281.32
2012-10-04 06:00:00,5689,0,0,1,280.74
2012-10-04 07:00:00,6990,0,0,1,280.57
2012-10-04 08:00:00,5985,0,0,1,281.86
2012-10-04 09:00:00,5309,0,0,1,284.98
2012-10-04 10:00:00,4603,0,0,1,289.18
2012-10-04 11:00:00,4884,0,0,1,291.55
2012-10-04 12:00:00,5104,0,0,1,294.97
2012-10-04 13:00:00,5178,0,0,1,296.38
2012-10-04 14:00:00,5501,0,0,1,297.32
2012-10-04 15:00:00,5713,0,0,1,298.17
2012-10-04 16:00:00,6292,0,0,20,298.06
2012-10-04 17:00:00,6057,0,0,20,297.67
2012-10-04 18:00:00,4907,0,0,40,296.36
2012-10-04 19:00:00,3503,0,0,40,293.85
2012-10-04 20:00:00,3037,0,0,40,292.43
2012-10-04 21:00:00,2822,0,0,75,291.77
2012-10-04 22:00:00,1992,0,0,75,291.36
2012-10-04 23:00:00,1166,0,0,75,291.12
2012-10-05 00:00:00,627,0,0,75,290.63
2012-10-05 01:00:00,388,0,0,40,290.46
2012-10-05 02:00:00,321.25,1.825,0,67.75,284.16
2012-10-05 03:00:00,368,0,0,0,289.26
2012-10-05 04:00:00,761,0.2775,0,86.75,284.115
2012-10-05 05:00:00,2489,0,0,75,283.21
2012-10-05 06:00:00,5537,0,0,90,282.24
2012-10-05 07:00:00,6628,0,0,90,281.69
2012-10-05 08:00:00,5534,0,0,90,280.57
2012-10-05 09:00:00,5403,0,0,75,280.02
2012-10-05 10:00:00,4770,0,0,75,280.11
2012-10-05 11:00:00,5217,0,0,90,280
2012-10-05 12:00:00,5870,0,0,90,280.53
2012-10-05 13:00:00,5967,0,0,75,281.43
2012-10-05 14:00:00,6108,0,0,90,281.78
2012-10-05 15:00:00,6128,0,0,90,281.91
2012-10-05 16:00:00,6069,0,0,90,281.73
2012-10-05 17:00:00,6169,0,0,90,281.42
2012-10-05 18:00:00,5384,0,0,90,280.87
2012-10-05 19:00:00,4063,0,0,90,280.15
2012-10-05 20:00:00,3364,0,0,90,279.78
2012-10-05 21:00:00,2971,0,0,75,279.65
2012-10-05 22:00:00,2450,0,0,40,279.22
2012-10-05 23:00:00,1832,0,0,40,279.06
2012-10-06 00:00:00,1231,0,0,90,278.81
2012-10-06 01:00:00,718,0,0,90,278.55
2012-10-06 02:00:00,545,0,0,90,278.59
2012-10-06 03:00:00,336.666666666667,0,0,30.3333333333333,283.413
2012-10-06 04:00:00,411,0,0,75,276.99
2012-10-06 05:00:00,688,0,0,20,276.35
2012-10-06 06:00:00,1352,0,0,1,275.4
2012-10-06 07:00:00,2072,0,0,1,275.17
2012-10-06 08:00:00,3342,0,0,1,274.99
2012-10-06 09:00:00,4258,0,0,40,275.09
2012-10-06 10:00:00,4861,0,0,20,276.88
2012-10-06 11:00:00,5191,0,0,20,278.04
2012-10-06 12:00:00,5669,0,0,40,279.08
2012-10-06 13:00:00,5074,0,0,75,280.12
2012-10-06 14:00:00,5025,0,0,75,280.25
2012-10-06 15:00:00,5153,0,0,75,280
2012-10-06 16:00:00,5024,0,0,90,279.06
2012-10-06 17:00:00,4779,0,0,90,278.91
2012-10-06 18:00:00,4362,0,0,90,278.39
2012-10-06 19:00:00,3860,0,0,90,278.16
2012-10-06 20:00:00,3160,0,0,90,278.16
2012-10-06 21:00:00,2992,0,0,90,277.93
